	Original ID	Gene Name in CARD	ARO	Database
0	YP_691420|[u'multidrug']|MdtN|unknown	mdtN	3003548	deeparg
1	gi:488879085:ref:WP_002791310.1:|[u'cephalosporin',			deeparg
2	gi:777763073:gb:AJY53584.1:|[u'glycopeptide']|vanN|unknown	vanN	3002912	deeparg
3	AIL92326.1|[u'beta_lactam']|CARB-17|unknown	CARB-17	3002254	deeparg
4	ZP_00235180|[u'fosfomycin']|FosX|unknown	FosX	3000198	deeparg
5	gi:754732129:ref:WP_042101048.1:|[u'fluoroquinolone',			deeparg
6	AAK49460.1|[u'beta_lactam']|OXA-35|unknown	OXA-35	3001429	deeparg
7	gi:1031657082:gb:ANG24830.1:|[u'monobactam',			deeparg
8	gi:730550388:ref:WP_034044878.1:|[u'fluoroquinolone',			deeparg
9	YP_151445|[u'multidrug']|acrB|unknown	acrB	3000216	deeparg
10	gi:602520538:emb:CDO32455.1:|[u'tetracycline']|tet(V)|unknown	tet(V)	3000181	deeparg
11	gi:445947019:ref:WP_000024874.1:|[u'macrolide',			deeparg
12	gi:391316952:gb:EIQ74337.1:|[u'peptide']|arnA|unknown	arnA	3002985	deeparg
13	gi:1028110191:ref:WP_063864561.1:|[u'monobactam',			deeparg
14	gi:1201190414:ref:WP_087587934.1:|[u'penam']|PC1			deeparg
15	gi:896546820:ref:WP_049448076.1:|[u'cephalosporin']|L1			deeparg
16	gi:992380339:ref:WP_061067665.1:|[u'macrolide']|macB|unknown	macB	3000535	deeparg
17	gi:658130997:emb:CDO19407.1:|[u'tetracycline']|tetM|unknown	tetM	3000186	deeparg
18	gi:1006161692:ref:WP_061736104.1:|[u'fluoroquinolone',			deeparg
19	gi:1015012759:emb:CZX54085.1:|[u'fluoroquinolone',			deeparg
20	WP_063857796.1|[u'cephalosporin']|ADC-22|unknown	ADC-22	3003866	deeparg
21	gi:1028081074:ref:WP_063840457.1:|[u'aminoglycoside']|aadA8|unknown	aadA8	3002608	deeparg
22	gi:1028110632:ref:WP_063864910.1:|[u'monobactam',			deeparg
23	gi:527083255:ref:WP_020898591.1:|[u'macrolide']|macA|unknown	macA	3000533	deeparg
24	ADO17948.1|[u'beta_lactam']|CTX-M-98|unknown	CTX-M-98	3001957	deeparg
25	gi:1028109658:ref:WP_063864080.1:|[u'cephalosporin',			deeparg
26	gi:730540608:ref:WP_034041053.1:|[u'monobactam',			deeparg
27	gi:1040476845:ref:WP_065102288.1:|[u'carbapenem',			deeparg
28	AE016830.1.gene424.p01|[u'lincosamide']|lmrB|unknown	Staphylococcus aureus LmrS	3004572	deeparg
