	Original ID	Gene Name in CARD	ARO	Database
0	MEG_3543|Drugs|betalactams|Class_A_betalactamases|LEN			megares
1	MEG_4298|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ			megares
2	MEG_6068|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTD			megares
3	MEG_3357|Drugs|betalactams|Class_B_betalactamases|IMP			megares
4	MEG_1645|Drugs|betalactams|Class_A_betalactamases|CEPA			megares
5	MEG_3576|Drugs|betalactams|Class_A_betalactamases|LEN			megares
6	MEG_3748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB			megares
7	MEG_477|Drugs|betalactams|Class_C_betalactamases|ACT			megares
8	MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP			megares
9	MEG_5421|Metals|Copper_resistance|Copper_resistance_protein|PCOD			megares
10	MEG_4754|Drugs|betalactams|Class_D_betalactamases|OXA			megares
11	MEG_6108|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation			megares
12	MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF			megares
13	MEG_3818|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA			megares
14	MEG_4731|Drugs|betalactams|Class_D_betalactamases|OXA			megares
15	MEG_7767|Drugs|betalactams|Class_B_betalactamases|VIM			megares
16	MEG_2270|Drugs|betalactams|Class_A_betalactamases|CTX			megares
17	MEG_6580|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI			megares
18	MEG_1917|Drugs|betalactams|Class_C_betalactamases|CMY			megares
19	MEG_3466|Drugs|betalactams|Class_A_betalactamases|KPC			megares
20	MEG_5406|Drugs|betalactams|Penicillin_binding_protein|PBP2B|RequiresSNPConfirmation			megares
21	MEG_7280|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|TROC			megares
22	MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA			megares
23	MEG_6163|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT			megares
24	MEG_620|Drugs|betalactams|Class_C_betalactamases|ADC			megares
25	MEG_829|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
26	MEG_6249|Drugs|betalactams|Class_A_betalactamases|SHV			megares
27	MEG_866|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
28	MEG_4876|Drugs|betalactams|Class_D_betalactamases|OXA			megares
29	MEG_6380|Drugs|betalactams|Class_A_betalactamases|SHV			megares
